"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Erie County, New York",2486.6329023919534,3061.164576600073,574.5316742081621,574.5316742081621,0.0,503247.0,2769.45,2769.45,0.0,0.0,1.0,213372.0
"Erie County, Ohio",-560.257142857143,-560.257142857143,0.0,0.0,1.0,42284.0,-235.58364576600434,-291.8499676793872,-56.26632191338221,-56.26632191338221,0.0,13402.0
"Erie County, Pennsylvania",-1460.3071428571427,-1460.3071428571427,0.0,0.0,1.0,144836.0,552.2035714285714,552.2035714285714,0.0,0.0,1.0,53756.0
"Escambia County, Alabama","","","","","",17985.0,-181.61521550267935,-328.07274973392487,-134.6541154231527,-158.260953031393,0.0,5828.0
"Escambia County, Florida",2948.5751777635887,3365.6996121527627,417.12443438915386,417.12443438915386,0.0,160375.0,1025.3392857142858,1025.3392857142858,0.0,0.0,1.0,62251.0
"Esmeralda County, Nevada",27.915239172594738,30.475517129931177,2.560277957336945,2.560277957336945,0.0,606.0,"","","","","",299.0
"Essex County, Massachusetts",2671.3321428571426,2671.3321428571426,0.0,0.0,1.0,478115.0,999.7249999999998,999.7249999999998,0.0,0.0,1.0,128339.0
"Essex County, New Jersey",4310.125,4310.125,0.0,0.0,1.0,439779.0,1229.7321428571427,1229.7321428571427,0.0,0.0,1.0,131455.0
"Essex County, New York",-300.025,-300.025,0.0,0.0,1.0,19545.0,279.26218487396545,314.00588235295436,34.7436974789912,34.7436974789912,0.0,7814.0
"Essex County, Vermont",-48.582142857142856,-48.582142857142856,0.0,0.0,1.0,3441.0,60.07937926799059,83.06031009741127,21.45265028609265,24.509211371987476,0.0,1220.0
"Essex County, Virginia",88.78003234043717,158.82062163203955,64.68406591430175,75.39711267204984,0.0,5658.0,13.720114439725876,41.470940394327044,24.816311122231127,30.685340785634253,0.0,1773.0
"Estill County, Kentucky",-167.7178571428571,-167.7178571428571,0.0,0.0,1.0,7969.0,"","","","","",2017.0
"Etowah County, Alabama",-499.72142857142853,-499.72142857142853,0.0,0.0,1.0,58226.0,201.00714285714284,201.00714285714284,0.0,0.0,1.0,16577.0
